2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 18:32:45,083 - INFO - Ep 20: Reward=-8759.0, Steps=5000, MaxX=700, Flag=\u274c, \u03b5=0.100, Loss=126.6745, Q=-101.91
2025-12-23 18:36:28,942 - INFO - Ep 30: Reward=-99.1, Steps=5000, MaxX=19, Flag=\u274c, \u03b5=0.100, Loss=47.8635, Q=-50.64
2025-12-23 18:37:16,440 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 18:41:52,379 - INFO - Ep 40: Reward=-1547.0, Steps=5000, MaxX=660, Flag=\u274c, \u03b5=0.100, Loss=65.5325, Q=-42.16
2025-12-23 18:45:28,570 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 18:46:54,439 - INFO - Ep 50: Reward=-67.6, Steps=680, MaxX=722, Flag=\u274c, \u03b5=0.100, Loss=86.0625, Q=-51.67
2025-12-23 18:50:02,999 - INFO - Ep 60: Reward=-3539.6, Steps=5000, MaxX=784, Flag=\u274c, \u03b5=0.100, Loss=94.8255, Q=-66.66
2025-12-23 18:53:55,286 - INFO - Ep 70: Reward=-72553.5, Steps=5000, MaxX=785, Flag=\u274c, \u03b5=0.100, Loss=80.0928, Q=-84.27
2025-12-23 18:57:17,403 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 18:57:40,836 - INFO - Ep 80: Reward=-10484.2, Steps=5000, MaxX=338, Flag=\u274c, \u03b5=0.100, Loss=122.7025, Q=-106.30
2025-12-23 18:58:09,438 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 19:03:46,558 - INFO - Ep 10: Reward=-106024.8, Steps=5000, MaxX=722, Flag=\u274c, \u03b5=0.559, Loss=1627.4211, Q=-1050.10
2025-12-23 19:44:11,591 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 19:44:46,709 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 19:45:08,168 - INFO - Ep 10: Reward=38.0, Steps=425, MaxX=1127, Flag=\u274c, \u03b5=0.984, Loss=152.1584, Q=-1.66
2025-12-23 19:45:53,033 - INFO - Ep 20: Reward=-8935.3, Steps=1066, MaxX=1434, Flag=\u274c, \u03b5=0.942, Loss=358.4374, Q=-6.94
2025-12-23 19:46:26,385 - INFO - Ep 30: Reward=53.9, Steps=39, MaxX=306, Flag=\u274c, \u03b5=0.910, Loss=336.8628, Q=-12.43
2025-12-23 19:47:00,680 - INFO - Ep 40: Reward=22.5, Steps=56, MaxX=279, Flag=\u274c, \u03b5=0.878, Loss=341.9160, Q=-16.53
2025-12-23 19:47:17,479 - INFO - Ep 50: Reward=86.4, Steps=273, MaxX=685, Flag=\u274c, \u03b5=0.861, Loss=289.7699, Q=-13.96
2025-12-23 19:47:45,204 - INFO - Ep 60: Reward=129.4, Steps=124, MaxX=688, Flag=\u274c, \u03b5=0.834, Loss=308.2145, Q=-14.26
2025-12-23 19:48:49,505 - INFO - Ep 70: Reward=27.6, Steps=50, MaxX=291, Flag=\u274c, \u03b5=0.767, Loss=245.2506, Q=-4.17
2025-12-23 19:49:36,119 - INFO - Ep 80: Reward=-386.1, Steps=2005, MaxX=667, Flag=\u274c, \u03b5=0.725, Loss=208.5663, Q=4.63
2025-12-23 19:50:06,230 - INFO - Ep 90: Reward=133.9, Steps=349, MaxX=876, Flag=\u274c, \u03b5=0.694, Loss=174.1356, Q=13.06
2025-12-23 19:50:36,906 - INFO - Ep 100: Reward=54.3, Steps=33, MaxX=308, Flag=\u274c, \u03b5=0.666, Loss=159.4761, Q=17.63
2025-12-23 19:50:50,679 - INFO - Ep 110: Reward=141.6, Steps=108, MaxX=690, Flag=\u274c, \u03b5=0.653, Loss=180.7315, Q=19.89
2025-12-23 19:51:21,643 - INFO - Ep 120: Reward=114.1, Steps=152, MaxX=678, Flag=\u274c, \u03b5=0.625, Loss=139.8015, Q=23.48
2025-12-23 19:52:05,598 - INFO - Ep 130: Reward=120.3, Steps=83, MaxX=708, Flag=\u274c, \u03b5=0.585, Loss=130.2246, Q=28.51
2025-12-23 19:52:51,022 - INFO - Ep 140: Reward=123.1, Steps=1101, MaxX=1429, Flag=\u274c, \u03b5=0.544, Loss=116.0700, Q=29.65
2025-12-23 19:53:10,988 - INFO - Ep 150: Reward=110.7, Steps=234, MaxX=699, Flag=\u274c, \u03b5=0.526, Loss=121.5731, Q=31.13
2025-12-23 19:53:57,391 - INFO - Ep 160: Reward=121.2, Steps=115, MaxX=722, Flag=\u274c, \u03b5=0.484, Loss=110.6320, Q=32.49
2025-12-23 19:54:52,314 - INFO - Ep 170: Reward=130.2, Steps=94, MaxX=694, Flag=\u274c, \u03b5=0.435, Loss=94.8017, Q=33.43
2025-12-23 19:55:46,028 - INFO - Ep 180: Reward=19.4, Steps=222, MaxX=715, Flag=\u274c, \u03b5=0.388, Loss=80.8431, Q=33.10
2025-12-23 19:56:14,708 - INFO - Ep 190: Reward=-36.8, Steps=750, MaxX=808, Flag=\u274c, \u03b5=0.363, Loss=93.6965, Q=33.63
2025-12-23 19:56:53,926 - INFO - Ep 200: Reward=117.1, Steps=117, MaxX=699, Flag=\u274c, \u03b5=0.328, Loss=79.4558, Q=33.58
2025-12-23 19:57:27,801 - INFO - Ep 210: Reward=163.7, Steps=177, MaxX=874, Flag=\u274c, \u03b5=0.299, Loss=85.7939, Q=34.38
2025-12-23 19:58:25,907 - INFO - Ep 220: Reward=-272.7, Steps=2005, MaxX=890, Flag=\u274c, \u03b5=0.245, Loss=85.7976, Q=32.99
2025-12-23 19:58:36,558 - INFO - Ep 230: Reward=52.1, Steps=38, MaxX=304, Flag=\u274c, \u03b5=0.235, Loss=79.1201, Q=32.56
2025-12-23 19:59:01,478 - INFO - Ep 240: Reward=162.3, Steps=219, MaxX=829, Flag=\u274c, \u03b5=0.213, Loss=74.6075, Q=34.10
2025-12-23 19:59:09,767 - INFO - Ep 250: Reward=112.6, Steps=128, MaxX=652, Flag=\u274c, \u03b5=0.206, Loss=89.8200, Q=34.66
2025-12-23 19:59:22,775 - INFO - Ep 260: Reward=31.7, Steps=39, MaxX=299, Flag=\u274c, \u03b5=0.194, Loss=89.8857, Q=34.92
2025-12-23 19:59:31,981 - INFO - Ep 270: Reward=37.8, Steps=170, MaxX=674, Flag=\u274c, \u03b5=0.186, Loss=85.4739, Q=35.71
2025-12-23 19:59:44,185 - INFO - Ep 280: Reward=100.8, Steps=145, MaxX=680, Flag=\u274c, \u03b5=0.176, Loss=79.2038, Q=36.08
